Score,Outcome,Method,Controls,Coef,SE,p-value,CI Lower,CI Upper,BW,N (eff),N,Error,RÂ²
Critic,Log Opening Gross,rdrobust,No,0.3315641931356801,0.7560116158970459,0.6609729672788646,-1.1501913459164588,1.813319732187819,11.89881231415899,126.0,538,,
Critic,Log Opening Gross,rdrobust,Yes,0.06020048643882908,0.2599442288752609,0.8168564678308903,-0.44928084014571906,0.5696818130233772,17.055543602067484,201.0,538,,
Critic,Log Opening Gross,OLS Linear,No,0.008247017830364411,0.26998175884532183,0.9756311498506361,-0.5209075059892445,0.5374015416499733,,,538,,0.008410465116594934
Critic,Log Opening Gross,OLS Linear,Yes,-0.046515010599112505,0.1332530493373806,0.7270346811918202,-0.3076861881305174,0.2146561669322924,,,538,,0.7481437140416218
Critic,Log Opening Gross,OLS Quadratic,No,0.004348253648810196,0.4072273836946749,0.991480586359212,-0.7938027519112263,0.8024992592088467,,,538,,0.008499237860140174
Critic,Log Opening Gross,OLS Quadratic,Yes,-0.13212621686570597,0.1974652990598079,0.5034246310918664,-0.5191510912193604,0.2548986574879485,,,538,,0.7483431137121928
Critic,Log Total Gross,rdrobust,No,-0.12651415569102653,0.8800453136437293,0.8856910297022091,-1.8513712751959919,1.5983429638139388,10.956726911171353,108.0,516,,
Critic,Log Total Gross,rdrobust,Yes,-0.2551592607177233,0.3772892848663051,0.49885268725960785,-0.9946326708085541,0.48431414937310746,12.595936778251337,133.0,516,,
Critic,Log Total Gross,OLS Linear,No,-0.1073479435176557,0.29956422661607696,0.7200836453360584,-0.6944830387417615,0.4797871517064502,,,516,,0.014471970199865236
Critic,Log Total Gross,OLS Linear,Yes,-0.04336294260569257,0.15743463473011973,0.78298237954479,-0.35192915659594604,0.2652032713845609,,,516,,0.7296933400838708
Critic,Log Total Gross,OLS Quadratic,No,-0.2545075686658502,0.45072583340200256,0.5723039600932547,-1.1379139690355757,0.6288988317038753,,,516,,0.015002543829007009
Critic,Log Total Gross,OLS Quadratic,Yes,-0.14847871377988275,0.23315487468053114,0.5242392290599052,-0.6054538709736735,0.30849644341390803,,,516,,0.7299077989480238
Audience,Log Opening Gross,rdrobust,No,-0.44317853262187157,0.5439821064712879,0.415247936646841,-1.5093638695398288,0.6230068042960857,14.513986026265815,148.0,599,,
Audience,Log Opening Gross,rdrobust,Yes,-0.06413197824394734,0.3230040206673749,0.842615907464315,-0.6972082256136334,0.5689442691257387,14.194441456304002,148.0,599,,
Audience,Log Opening Gross,OLS Linear,No,0.6048699693891821,0.23691178292223183,0.010675525598085742,0.14053140734843628,1.069208531429928,,,599,,0.025893792644436364
Audience,Log Opening Gross,OLS Linear,Yes,0.08527573462819715,0.13706940514434393,0.5338528133391174,-0.18337536283704614,0.35392683209344045,,,599,,0.7405645084218166
Audience,Log Opening Gross,OLS Quadratic,No,-0.15393990229171428,0.34971648069315625,0.6598032197062671,-0.8393716092503977,0.5314918046669691,,,599,,0.0346825389351656
Audience,Log Opening Gross,OLS Quadratic,Yes,-0.020965006261443486,0.1995424953024004,0.9163239372699785,-0.4120611104394012,0.3701310979165142,,,599,,0.7415649826153659
Audience,Log Total Gross,rdrobust,No,-0.11141461667156705,0.6546741559679151,0.864865974734554,-1.3945523839778389,1.1717231506347048,14.962971247660288,143.0,573,,
Audience,Log Total Gross,rdrobust,Yes,0.15799030694710453,0.35425051930175394,0.655608307314317,-0.5363279523889444,0.8523085662831535,16.87002999464358,164.0,573,,
Audience,Log Total Gross,OLS Linear,No,0.8443443054834479,0.2666928753148879,0.0015456142812106419,0.3216358749328364,1.3670527360340592,,,573,,0.033982161924664744
Audience,Log Total Gross,OLS Linear,Yes,0.2515451585720607,0.15353738960411298,0.10135253728514591,-0.04938259533229522,0.5524729124764167,,,573,,0.7275829188272305
Audience,Log Total Gross,OLS Quadratic,No,0.09077376420148164,0.39621039683896564,0.8187873441891002,-0.6857843439032135,0.8673318723061768,,,573,,0.04192166839991274
Audience,Log Total Gross,OLS Quadratic,Yes,0.18006408179147948,0.22802628593745997,0.42972419323505984,-0.26685922617437424,0.6269873897573333,,,573,,0.7284699785850648
